,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
5504,"
Budget:£4,158,370
            (estimated)
",UK,,Nick Hamm,Drama,Mystery,Thriller,English,R,41549,2001-04-20,102.0,The Hole,https://www.imdb.com/title/tt0242527,,6.2
5505,28000000,USA,,Donald Petrie,Comedy,Fantasy,Romance,English,PG-13,49436,2006-05-12,103.0,Just My Luck,https://www.imdb.com/title/tt0397078,17324744.0,5.4
5506,50000000,USA,111340801,Len Wiseman,Action,Adventure,Fantasy,English,R,175842,2006-01-20,106.0,Underworld: Evolution,https://www.imdb.com/title/tt0401855,62318875.0,6.7
5507,50000000,Germany,,Brian De Palma,Crime,Drama,Mystery,English,R,67250,2006-09-15,121.0,The Black Dahlia,https://www.imdb.com/title/tt0387877,22518325.0,5.6
5508,30000000,USA,291632124,Ivan Reitman,Action,Comedy,Fantasy,English,PG,311904,1984-06-08,105.0,Ghost Busters,https://www.imdb.com/title/tt0087332,238632124.0,7.8
5509,100000000,USA,,Dean Israelite,Action,Adventure,Sci-Fi,English,PG-13,85976,2017-03-24,124.0,Power Rangers,https://www.imdb.com/title/tt3717490,85067486.0,6.0
5510,195000000,USA,1123746996,Michael Bay,Action,Adventure,Sci-Fi,English,PG-13,357397,2011-06-29,154.0,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103,352390543.0,6.3
5511,87000000,USA,351692268,Ridley Scott,Crime,Drama,Thriller,English,R,230408,2001-02-09,131.0,Hannibal,https://www.imdb.com/title/tt0212985,165092268.0,6.8
5512,18500000,USA,131060248,James Cameron,Action,Adventure,Sci-Fi,English,R,578149,1986-07-18,137.0,Aliens,https://www.imdb.com/title/tt0090605,85160248.0,8.4
5513,"
Budget:ITL 30,000,000,000
            (estimated)
",Italy,77200000,Jean-Jacques Annaud,Crime,Drama,Mystery,English,R,91555,1986-09-24,130.0,Der Name der Rose,https://www.imdb.com/title/tt0091605,7153487.0,7.8
5514,,USA,,Scott Wiper,Action,Crime,Thriller,English,R,47719,2007-04-27,113.0,The Condemned,https://www.imdb.com/title/tt0443473,3718.0,6.1
5515,17000000,USA,92938755,Mike Mitchell,Comedy,Romance,,English,R,64974,1999-12-10,88.0,Deuce Bigalow: Male Gigolo,https://www.imdb.com/title/tt0205000,65538755.0,5.7
5516,28000000,USA,103173635,Mike Nichols,Comedy,Drama,Romance,English,R,46322,1988-12-21,113.0,Working Girl,https://www.imdb.com/title/tt0096463,64000000.0,6.8
5517,,UK,,Kirby Dick,Documentary,,,English,Unrated,26470,2006-09-01,98.0,This Film Is Not Yet Rated,https://www.imdb.com/title/tt0493459,302179.0,7.5
5518,2000000,USA,,John Waters,Comedy,Drama,Family,English,PG,17892,1988-02-26,92.0,Hairspray,https://www.imdb.com/title/tt0095270,6671108.0,7.0
